id;nombre_original;latitud;longitud;nombre_normalizado;tipo;pais;region;estado;municipio;parroquia_sector;direccion_referencial;telefono
102;U.E.P Corazón de María;10,4843019;-66,8139479;;ESCUELA;VENEZUELA;;;;;;
103;Complejo Educativo Privado de la USB;10,4078492;-66,8754392;;ESCUELA;VENEZUELA;;;;;;
104;Colegio Simón Rodriguez;10,4779219;-66,8239459;;ESCUELA;VENEZUELA;;;;;;
105;Escuela Tulio Febres Cordero;10,5256108;-66,9342168;;ESCUELA;VENEZUELA;;;;;;
106;Liceo Nicanor Bolet Peraza;10,5208574;-66,9371736;;ESCUELA;VENEZUELA;;;;;;
107;Escuela Ciudad Barcelona;10,5225127;-66,9386426;;ESCUELA;VENEZUELA;;;;;;
108;Escuela San Ramón Nonato;10,5228126;-66,9344682;;ESCUELA;VENEZUELA;;;;;;
109;S/N;10,5234039;-66,9372881;;ESCUELA;VENEZUELA;;;;;;
110;U.E Colegio Arístides Rojas;10,4826846;-66,9469045;;ESCUELA;VENEZUELA;;;;;;
111;Alianza Francesa La Castellana;10,5031204;-66,8576225;;ESCUELA;VENEZUELA;;;;;;
112;Colegio Los Rosales;10,4801746;-66,8966325;;ESCUELA;VENEZUELA;;;;;;
113;Escuela Luis Hurtado Higuera;10,4860255;-67,0025799;;ESCUELA;VENEZUELA;;;;;;
114;Escuela Básica;10,4639681;-66,9451054;;ESCUELA;VENEZUELA;;;;;;
115;Colegio Sagrado Corazón de Jesús;10,4768521;-66,8089981;;ESCUELA;VENEZUELA;;;;;;
116;U.E San Martín de Porres;10,5055914;-66,8951505;;ESCUELA;VENEZUELA;;;;;;
117;Colegio Jefferson;10,4717603;-66,8749514;;ESCUELA;VENEZUELA;;;;;;
118;Unidad Educativa Madre Matilde;10,4557658;-66,8802729;;ESCUELA;VENEZUELA;;;;;;
119;Colegio Simón Bolívar;10,4298112;-66,887816;;ESCUELA;VENEZUELA;;;;;;
120;Colegio Moral y Luces Herzl-Bialik;10,5051906;-66,8202726;;ESCUELA;VENEZUELA;;;;;;
121;Colegio Promesas Patrias;10,4840562;-66,8718991;;ESCUELA;VENEZUELA;;;;;;
122;Mano amiga;10,4265505;-66,7225041;;ESCUELA;VENEZUELA;;;;;;
123;U.E.D. Nueva Esparta;10,5171502;-66,9667496;;ESCUELA;VENEZUELA;;;;;;
124;U.E. Arturo Michelena;10,4316613;-66,860541;;ESCUELA;VENEZUELA;;;;;;
125;Colegio Castelao;10,5059895;-66,8875834;;ESCUELA;VENEZUELA;;;;;;
126;Escuela Superior de Guerra;10,4524489;-66,9069542;;ESCUELA;VENEZUELA;;;;;;
127;Colegio Tiuna;10,4379742;-66,9929887;;ESCUELA;VENEZUELA;;;;;;
128;Liceo Fidel Jesús Orozco;10,5313312;-66,9651622;;ESCUELA;VENEZUELA;;;;;;
129;E.B. Lorenzo Herrera;10,5302685;-66,9647518;;ESCUELA;VENEZUELA;;;;;;
130;Fe y Alegría Juan Pablo II;10,5328132;-66,9748932;;ESCUELA;VENEZUELA;;;;;;
131;E.B. Manuel Antonio Gómez;10,5288655;-66,9748879;;ESCUELA;VENEZUELA;;;;;;
132;E.B. Manuel María Echeandía;10,5299784;-66,9459361;;ESCUELA;VENEZUELA;;;;;;
133;S/N;10,4951701;-66,7895177;;ESCUELA;VENEZUELA;;;;;;
134;I.E.E. Rómulo Gallegos;10,5136059;-66,9530869;;ESCUELA;VENEZUELA;;;;;;
135;UEP Colegio San Antonio;10,5100874;-66,9168832;;ESCUELA;VENEZUELA;;;;;;
136;U.E. Colegio Santa Caterina Da Siena;10,4782546;-66,8915549;;ESCUELA;VENEZUELA;;;;;;
137;E.B.N. Franklin Delano Roosevelt;10,4830662;-66,8975872;;ESCUELA;VENEZUELA;;;;;;
138;Centro de Educación y Gastronomía Cecilia Mujica;10,4847424;-66,9418684;;ESCUELA;VENEZUELA;;;;;;
139;S/N;10,444848;-66,9068789;;ESCUELA;VENEZUELA;;;;;;
140;Liceo Avila;10,5026157;-66,911786;;ESCUELA;VENEZUELA;;;;;;
141;S/N;10,5222413;-66,9298653;;ESCUELA;VENEZUELA;;;;;;
142;Colegio Madison;10,4621529;-66,8235079;;ESCUELA;VENEZUELA;;;;;;
143;Maestro Simón;10,458201;-66,8917318;;ESCUELA;VENEZUELA;;;;;;
144;Colegio Fray Luis Amigó;10,4808078;-66,880167;;ESCUELA;VENEZUELA;;;;;;
145;Colegio Casagrande;10,4821491;-66,8784119;;ESCUELA;VENEZUELA;;;;;;
146;S/N;10,4654093;-66,8200213;;ESCUELA;VENEZUELA;;;;;;
147;C.E.I.A “Olga Hernández”;10,451394;-66,9218863;;ESCUELA;VENEZUELA;;;;;;
148;Unidad Educativa Consuelo Navas Tovar;10,4897317;-66,8028197;;ESCUELA;VENEZUELA;;;;;;
149;Casa de los Niños Luisa Cáceres de Arismendi;10,4893052;-66,8028724;;ESCUELA;VENEZUELA;;;;;;
150;IFI Cecilio Acosta;10,4928084;-66,9256747;;ESCUELA;VENEZUELA;;;;;;
151;S/N;10,4708792;-66,8528579;;ESCUELA;VENEZUELA;;;;;;
152;U.E. Don Bosco;10,4927602;-66,8252733;;ESCUELA;VENEZUELA;;;;;;
153;Colegio Integral El Ávila;10,4998954;-66,7881673;;ESCUELA;VENEZUELA;;;;;;
154;E.B.N. Dr. Rafael Napoleón Baute;10,4815661;-66,7978088;;ESCUELA;VENEZUELA;;;;;;
155;Colegio Emil Friedman;10,4589312;-66,8711435;;ESCUELA;VENEZUELA;;;;;;
156;Liceo Andrés Bello;10,5012193;-66,903636;;ESCUELA;VENEZUELA;;;;;;
157;Colegio Santa Rosa de Lima;10,4680294;-66,860663;;ESCUELA;VENEZUELA;;;;;;
158;Colegio San Ignacio de Loyola;10,4997004;-66,8570986;;ESCUELA;VENEZUELA;;;;;;
159;Liceo Gustavo Herrera;10,4892591;-66,8523248;;ESCUELA;VENEZUELA;;;;;;
160;Escuela Juan Lovera;10,4276394;-67,0179042;;ESCUELA;VENEZUELA;;;;;;
161;U.E. Niño Simón;10,4707691;-66,9629982;;ESCUELA;VENEZUELA;;;;;;
162;Sede del Ministerio de Educación;10,5106671;-66,9148643;;ESCUELA;VENEZUELA;;;;;;
163;Escuela Matias Nuñez;10,4873695;-66,9503126;;ESCUELA;VENEZUELA;;;;;;
164;Colegio Nuestra Señora del Valle;10,4876749;-66,9527017;;ESCUELA;VENEZUELA;;;;;;
165;Colegio Ave María;10,4860087;-66,946352;;ESCUELA;VENEZUELA;;;;;;
166;Escuela Técnica José de San Martín;10,4909727;-66,9450586;;ESCUELA;VENEZUELA;;;;;;
167;Escuela Técnica Luis Razetti;10,492248;-66,9457936;;ESCUELA;VENEZUELA;;;;;;
168;U.E. Pablo Acosta Ortíz;10,4927422;-66,9455955;;ESCUELA;VENEZUELA;;;;;;
169;Escuela Manuel Antonio Carreño;10,4780113;-66,9455193;;ESCUELA;VENEZUELA;;;;;;
170;Escuela Juan Rodríguez Suárez;10,4839275;-66,9392794;;ESCUELA;VENEZUELA;;;;;;
